int32 0,empty 1,int32 2,empty 3,empty 4,empty 5,int32 6,int32 7,int32 8,int32 9,int32 10,int32 11,int32 12,int32 13,int32 14,empty 15,empty 16,empty 17,int32 18,int32 19,int32 20,int32 21,int32 22,int32 23,int32 24,int32 25,int32 26,empty 27,empty 28,empty 29,int32 30,int32 31,int32 32,int32 33,int32 34,int32 35,int32 36,int32 37,int32 38,empty 39,empty 40,empty 41,int32 42,int32 43,int32 44,int32 45,int32 46,int32 47,int32 48,int32 49,int32 50,empty 51,empty 52,empty 53,int32 54,int32 55,int32 56,int32 57,int32 58,int32 59,int32 60,int32 61,int32 62,empty 63,empty 64,empty 65,int32 66,int32 67,int32 68,int32 69,int32 70,int32 71,int32 72,int32 73,int32 74,string2 75,int32 76,empty 77,int32 78,empty 79,int32 80,empty 81,bool 82,bool 83,bool 84,int32 85
6000115,,37403,,,,100,2,55,100,100,0,0,1,74003,,,,100,2,60,100,100,0,0,1,37403,,,,100,2,55,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,1502,,false,false,false,1
6000116,,74102,,,,100,2,60,100,100,0,0,1,-1,,,,100,2,60,100,100,0,0,1,-1,,,,100,2,55,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,1501,,false,false,false,1
6000117,,13402,,,,100,2,55,100,100,0,0,1,13402,,,,100,2,55,100,100,0,0,1,-1,,,,100,2,55,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,1501,,false,false,false,1
6000118,,36902,,,,100,2,50,100,100,0,0,1,1704,,,,100,2,50,100,100,0,0,1,-1,,,,100,2,55,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,1501,,false,false,false,1
6000119,,8402,,,,100,2,55,100,100,0,0,1,-1,,,,100,2,50,100,100,0,0,1,-1,,,,100,2,55,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"battle_6000114",-1,,1,,807,,false,false,false,1
6000120,,5402,,,,100,2,50,100,100,0,0,1,-1,,,,100,2,50,100,100,0,0,1,-1,,,,100,2,55,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"battle_6000114",-1,,1,,807,,false,false,false,1
6000121,,6802,,,,100,2,50,100,100,0,0,1,6802,,,,100,2,50,100,100,0,0,1,-1,,,,100,2,55,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"battle_6000114",-1,,1,,807,,false,false,false,1
6000122,,40802,,,,100,2,55,100,100,0,0,1,40802,,,,100,2,55,100,100,0,0,1,-1,,,,100,2,55,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,1501,,false,false,false,1
6000123,,21004,,,,100,2,55,100,100,0,0,1,21004,,,,100,2,55,100,100,0,0,1,-1,,,,100,2,55,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,1501,,false,false,false,1
6000124,,37703,,,,100,2,60,100,100,0,0,1,37703,,,,100,2,60,100,100,0,0,1,37703,,,,100,2,60,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,1501,,false,false,false,1
6000125,,75502,,,,100,2,60,100,100,0,0,1,75502,,,,100,2,60,100,100,0,0,1,75502,,,,100,2,60,100,100,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,,,,100,0,0,55,55,0,0,1,-1,"",-1,,1,,1501,,false,false,false,1
